Customer_ID,Age,Gender,Annual_Income,Spending_Score,City,Purchase_Count,Avg_Order_Value,Membership,Churn
1035,64.0,Other,559995.0,45,Mumbai,15,11595.27,Gold,0
1036,61.0,Other,345004.0,27,Hyderabad,16,13922.29,Silver,0
1037,20.0,Female,616152.0,73,Pune,7,6853.5,Silver,0
1038,54.0,Female,201934.0,26,Delhi,9,13569.95,Gold,0
1039,24.0,Male,575523.0,47,Hyderabad,8,13229.42,Silver,0
1040,38.0,Male,990530.0,86,,12,5099.34,Silver,0
1041,26.0,Female,155486.0,56,Bangalore,10,13099.06,Gold,0
1042,56.0,Female,1023332.0,94,Hyderabad,14,5947.25,Silver,0
1043,,Female,1189458.0,63,,12,4804.6,Gold,0
1044,21.0,Male,370184.0,48,Chennai,6,9911.58,Platinum,0
1045,42.0,Female,816490.0,61,Delhi,22,5261.53,Platinum,0
1046,31.0,Female,472710.0,81,Delhi,7,9638.03,Silver,0
1047,26.0,Female,347775.0,26,Pune,15,9342.56,Platinum,0
1048,43.0,Female,439336.0,36,Pune,12,8669.86,Silver,1
1049,19.0,Female,937494.0,1,Bangalore,20,6016.09,Silver,0
1050,37.0,Female,695977.0,8,Delhi,13,8453.25,Gold,0
1051,45.0,Male,1062606.0,99,Chennai,14,9149.04,Silver,0
1052,64.0,Female,,52,Hyderabad,14,8412.46,Silver,0
1053,24.0,Other,683636.0,79,Chennai,12,6944.08,Gold,0
1054,61.0,Male,1091218.0,47,Mumbai,7,712.67,Silver,0
1055,25.0,Male,188102.0,56,Mumbai,8,9012.39,Silver,0
1056,64.0,Female,224460.0,86,Pune,11,2942.44,Silver,0
1057,52.0,Male,329208.0,14,Bangalore,15,9817.35,Gold,0
1058,31.0,Other,,90,Mumbai,11,11510.49,Gold,0
1059,34.0,Male,381915.0,28,Delhi,13,7756.46,Silver,0
1060,53.0,Male,877952.0,87,Chennai,10,8364.27,Silver,0
1061,57.0,Female,358124.0,78,Chennai,12,14296.44,Silver,0
1062,21.0,Male,587477.0,88,Pune,12,12783.93,Silver,0
1063,19.0,Male,675830.0,2,Hyderabad,11,13756.43,Gold,0
1064,23.0,Female,189081.0,26,Pune,15,12299.61,Silver,1
1065,59.0,Female,868216.0,14,Hyderabad,14,,Silver,0
1066,21.0,Male,505249.0,59,Pune,12,2660.38,Gold,1
1067,46.0,Female,955497.0,56,Pune,17,8136.05,Gold,0
1068,35.0,Female,667313.0,7,Pune,11,4068.01,Gold,0
1069,43.0,Female,762380.0,3,Hyderabad,6,7412.08,Silver,0
1070,61.0,Male,307504.0,23,Hyderabad,5,6218.3,Silver,0
1071,51.0,Female,842440.0,18,Pune,13,8466.51,Silver,0
1072,27.0,Other,544540.0,38,Mumbai,11,11329.7,Silver,0
1073,53.0,Female,667923.0,99,Bangalore,10,10874.62,Gold,0
1074,31.0,Female,894699.0,15,Bangalore,14,,Gold,1
1075,48.0,Male,169870.0,64,Bangalore,12,12424.7,Gold,0
1076,32.0,Male,1102082.0,89,Hyderabad,16,6747.5,Gold,0
1077,25.0,Female,398683.0,28,Hyderabad,13,13502.36,Silver,0
1078,31.0,Female,176790.0,74,Mumbai,18,1533.56,Gold,0
1079,40.0,Female,,39,Bangalore,7,14342.57,Silver,0
1080,57.0,Male,598345.0,57,Bangalore,15,9993.05,Gold,0
1081,38.0,Female,899074.0,17,Pune,17,6011.08,Silver,0
1082,33.0,Female,679036.0,86,Hyderabad,15,3358.73,Silver,0
1083,62.0,Female,940141.0,90,Bangalore,11,7448.16,Silver,1
1084,35.0,Male,798249.0,44,Chennai,9,3321.1,Platinum,0
1085,,Other,861131.0,25,Mumbai,7,2911.81,Silver,0
1086,41.0,Male,601015.0,17,Chennai,11,9451.6,Silver,1
1087,43.0,Male,306542.0,13,Chennai,15,8084.73,Silver,0
1088,42.0,Female,455062.0,84,Mumbai,9,10216.39,Gold,0
1089,62.0,Female,1016651.0,25,,13,13979.29,Gold,1
1090,58.0,Female,905195.0,68,Bangalore,9,8217.77,Gold,0
1091,46.0,Male,440160.0,10,Hyderabad,17,8923.51,Silver,0
1092,,Female,363920.0,67,Mumbai,13,1799.58,Gold,0
1093,,Female,803983.0,18,Pune,16,10905.72,Silver,0
1094,18.0,Other,971052.0,100,Chennai,11,6298.63,Gold,0
1095,42.0,Male,,86,Mumbai,12,14662.52,Gold,1
1096,24.0,Male,881899.0,34,Delhi,16,12436.02,Silver,0
1097,26.0,Male,433876.0,8,Delhi,15,8075.98,Silver,0
1098,41.0,Male,409747.0,40,Hyderabad,9,2286.73,Silver,1
1099,18.0,Female,765650.0,83,Bangalore,14,12961.53,Silver,0
1100,61.0,Male,573570.0,42,Hyderabad,17,12096.83,Silver,0
1101,25.0,Male,425987.0,41,Hyderabad,17,3176.48,Gold,0
1102,41.0,Female,1177512.0,6,,14,4781.54,Silver,0
1103,28.0,Female,788353.0,52,Hyderabad,16,12004.41,Silver,0
1104,34.0,Male,1008158.0,26,Pune,12,3185.81,Silver,1
1105,25.0,Male,167640.0,64,Pune,9,13807.41,Silver,0
1106,52.0,Female,202528.0,98,Mumbai,8,6655.65,Platinum,0
1107,52.0,Male,409214.0,59,Delhi,7,1762.06,Silver,0
1108,50.0,Male,1120240.0,56,Hyderabad,21,12328.36,Gold,1
1109,22.0,Male,651108.0,59,Mumbai,17,5915.89,Gold,1
1110,59.0,Male,784421.0,70,Delhi,16,8134.24,Gold,0
1111,56.0,Female,305576.0,33,Chennai,18,2128.41,Platinum,0
1112,58.0,Male,1074618.0,53,Bangalore,13,537.47,Silver,0
1113,45.0,Female,1015291.0,22,,9,9750.79,Platinum,0
1114,24.0,Female,1036089.0,21,Chennai,6,7970.04,Silver,0
1115,,Male,1078479.0,70,Delhi,13,9106.31,Silver,0
1116,25.0,Male,,70,Chennai,11,,Gold,1
1117,29.0,Male,538043.0,4,Bangalore,16,9875.79,Platinum,0
1118,51.0,Female,216203.0,94,Delhi,10,3034.21,Gold,0
1119,50.0,Male,1055588.0,75,Chennai,11,5731.2,Silver,0
1120,40.0,Male,310775.0,62,Pune,11,13635.42,Silver,0
1121,41.0,Female,720715.0,62,Pune,8,11664.2,Platinum,0
1122,54.0,Male,514167.0,94,Mumbai,19,8571.24,Silver,0
1123,52.0,Male,837281.0,95,Chennai,15,4206.85,Gold,0
1124,61.0,Male,570571.0,24,Hyderabad,12,4879.88,Gold,0
1125,57.0,Male,941267.0,55,Chennai,11,11113.39,Silver,1
1126,39.0,Female,647562.0,9,Delhi,13,12842.03,Silver,0
1127,44.0,Male,533934.0,3,Delhi,11,10235.66,Silver,0
1128,52.0,Female,467428.0,31,Chennai,9,12238.18,Silver,1
1129,18.0,Male,1192892.0,40,Bangalore,8,11616.51,Platinum,0
1130,52.0,Female,840907.0,36,Pune,19,2670.71,Silver,0
1131,54.0,Male,232844.0,24,Delhi,16,6647.2,Platinum,1
1132,64.0,Male,272402.0,95,Pune,16,2718.27,Silver,0
1133,31.0,Other,588661.0,6,Delhi,9,3910.92,Platinum,0
1134,20.0,Female,548929.0,66,Mumbai,11,13104.26,Silver,0
1135,18.0,Female,730466.0,84,Hyderabad,10,7356.93,Silver,0
1136,22.0,Male,723695.0,92,Delhi,15,,Silver,0
1137,43.0,Male,613556.0,75,Pune,13,3087.47,Gold,0
1138,31.0,Male,725278.0,4,Mumbai,12,5027.94,Gold,0
1139,56.0,Female,1143176.0,79,Delhi,9,3838.57,Gold,0
1140,44.0,Male,1133049.0,6,Bangalore,8,,Silver,0
1141,,Female,628007.0,94,Hyderabad,12,9750.43,Silver,0
1142,32.0,Male,994573.0,51,Delhi,15,,Gold,0
1143,32.0,Other,675303.0,62,Mumbai,8,9664.22,Silver,1
1144,43.0,Male,177712.0,57,Bangalore,13,1347.59,Silver,0
1145,59.0,Female,262816.0,66,Chennai,13,2555.73,Platinum,1
1146,,Male,435977.0,79,Mumbai,8,4480.83,Platinum,0
1147,49.0,Male,285230.0,75,Mumbai,10,9157.18,Platinum,0
1148,56.0,Female,956741.0,8,Bangalore,8,10299.7,Gold,0
1149,49.0,Male,419114.0,26,Mumbai,14,6919.4,Silver,1
1150,21.0,Male,1154208.0,51,Bangalore,14,6963.97,Silver,0
1151,47.0,Other,301456.0,45,Delhi,14,11005.49,Gold,0
1152,54.0,Female,1012312.0,44,Bangalore,8,,Gold,0
1153,40.0,Male,420846.0,5,Bangalore,13,5445.81,Silver,0
1154,56.0,Male,150404.0,70,Hyderabad,12,12371.25,Silver,0
1155,62.0,Male,1108447.0,26,Bangalore,10,9246.68,Silver,1
1156,32.0,Female,853286.0,68,Bangalore,19,5389.79,Gold,1
1157,60.0,Male,865460.0,19,Chennai,12,13630.11,Platinum,0
1158,46.0,Male,1034574.0,84,Delhi,10,11703.03,Gold,0
1159,53.0,Male,385365.0,97,Hyderabad,24,4340.98,Silver,0
1160,30.0,Male,492786.0,20,Chennai,20,9856.7,Platinum,0
1161,49.0,Female,960006.0,12,Pune,17,9138.39,Gold,0
1162,24.0,Male,350244.0,47,Delhi,13,6317.22,Silver,0
1163,39.0,Female,313273.0,1,,10,,Silver,0
1164,45.0,Male,1084604.0,90,Pune,19,5481.63,Silver,1
1165,19.0,Male,993523.0,14,Bangalore,15,9448.76,Silver,0
1166,59.0,Male,696237.0,64,Chennai,12,6914.94,Platinum,0
1167,62.0,Male,850903.0,38,Mumbai,12,12562.02,Silver,0
1168,23.0,Female,242193.0,37,Hyderabad,15,10209.24,Platinum,0
1169,,Female,655950.0,11,Mumbai,11,1514.01,Silver,0
1170,45.0,Female,1060886.0,100,Pune,13,9782.44,Silver,0
1171,61.0,Female,950921.0,77,Delhi,12,4431.64,Silver,0
1172,61.0,Male,658153.0,3,Delhi,10,9095.77,Silver,1
1173,37.0,Female,736165.0,33,Hyderabad,11,10361.91,Silver,0
1174,47.0,Male,768362.0,6,Delhi,8,3847.02,Platinum,0
1175,28.0,Female,837409.0,50,,14,7124.45,Gold,0
1176,45.0,Male,711419.0,10,Hyderabad,12,3259.71,Gold,0
1177,42.0,Male,,5,Chennai,6,1258.91,Silver,0
1178,56.0,Male,1010395.0,23,Chennai,9,5987.91,Silver,1
1179,50.0,Male,275917.0,10,Hyderabad,9,5762.69,Silver,0
1180,,Male,960717.0,44,,11,14934.47,Gold,0
1181,44.0,Male,848168.0,2,Delhi,13,6972.11,Silver,0
1182,30.0,Other,631680.0,13,Delhi,15,5336.76,Silver,0
1183,58.0,Male,1121375.0,40,Pune,12,8916.89,Gold,0
1184,20.0,Male,431342.0,2,Chennai,13,1787.13,Silver,0
1185,56.0,Female,689542.0,84,Bangalore,11,14444.15,Silver,1
1186,23.0,Female,151252.0,65,Bangalore,13,9706.92,Silver,0
1187,25.0,Male,976196.0,63,Bangalore,10,11445.15,Platinum,0
1188,44.0,Male,1014141.0,73,Chennai,11,2971.93,Gold,0
1189,26.0,Female,465826.0,17,Chennai,16,6437.43,Silver,1
1190,54.0,Male,755605.0,9,Pune,15,6628.99,Silver,0
1191,50.0,Female,477359.0,75,Delhi,13,,Platinum,0
1192,59.0,Female,156949.0,15,,11,517.93,Gold,0
1193,61.0,Male,913185.0,24,Pune,11,4862.37,Silver,0
1194,41.0,Male,467537.0,38,Chennai,11,14727.93,Platinum,0
1195,32.0,Female,812301.0,35,Bangalore,11,7385.85,Silver,0
1196,49.0,Female,700222.0,94,Mumbai,13,6046.63,Gold,0
1197,49.0,Female,930722.0,95,Delhi,10,2237.52,Gold,0
1198,41.0,Female,626467.0,49,Chennai,16,14625.39,Silver,1
1199,58.0,Female,506600.0,69,Bangalore,13,790.38,Platinum,0
1200,29.0,Female,1124304.0,62,Mumbai,11,11189.11,Gold,0
1201,56.0,Female,400875.0,60,Mumbai,11,11644.7,Gold,0
1202,19.0,Female,613389.0,50,Chennai,11,4033.02,Silver,0
1203,20.0,Female,220390.0,78,Hyderabad,8,10237.6,Silver,0
1204,54.0,Female,857689.0,75,Delhi,9,1847.47,Silver,0
1205,34.0,Female,403490.0,9,Mumbai,11,4227.19,Gold,0
1206,19.0,Female,515340.0,34,Chennai,10,11924.58,Silver,0
1207,19.0,Male,583027.0,76,Chennai,15,13037.95,Gold,0
1208,45.0,Female,800199.0,99,Bangalore,11,9323.05,Gold,0
1209,40.0,Female,373777.0,35,Hyderabad,13,7849.16,Silver,0
1210,54.0,Female,1009909.0,1,Delhi,7,2809.91,Gold,0
1211,49.0,Female,744124.0,40,Pune,9,1415.08,Silver,0
1212,50.0,Female,778861.0,64,Bangalore,6,2205.91,Platinum,0
1213,18.0,Male,,22,Mumbai,13,,Silver,0
1214,36.0,Male,408090.0,60,Mumbai,11,5454.28,Silver,0
1215,19.0,Male,921954.0,64,Bangalore,14,6023.19,Silver,0
1216,61.0,Male,811614.0,93,Chennai,13,5521.67,Silver,0
1217,43.0,Male,829574.0,72,,12,3966.3,Gold,0
1218,49.0,Female,,11,Hyderabad,12,7891.0,Gold,0
1219,23.0,Male,352846.0,14,Delhi,7,12466.65,Gold,0
1220,49.0,Female,816997.0,60,Hyderabad,19,4555.7,Silver,0
